text,size,topic
ofvotesuperfruit,4.693135952,1
mtvstars,4.693135407,1
school,0.464479366,1
smile,0.462483073,1
tagsforlikes,0.462229803,1
np,0.333783301,1
mehemelery,0.218973917,1
rak,0.20862164,1
love,0.208526664,1
fashion,0.208518906,1
dovizzedeesitlik,0.181538431,1
bizdebirlafvar,0.181038738,1
