text,size,topic
bizdebirlafvar,3.640571647,2
dovizzedeesitlik,3.639398475,2
mehemelery,2.565398072,2
school,0.424337784,2
smile,0.42256346,2
tagsforlikes,0.422324589,2
np,0.332862463,2
rak,0.200072984,2
love,0.199988573,2
fashion,0.199981919,2
mtvstars,0.151694248,2
ofvotesuperfruit,0.151694018,2
